ประทับเวลา,ประเภทอาหารที่ชื่นชอบ,น้ำที่ทานคู่,ประมาณราคาอาหารรวมทั้งหมด,ของว่างที่ชอบทาน,อาคารที่นำอาหารไปรับประทาน
"8/1/2024, 22:23:23",ข้าวหมกไก่,ชามะนาว,45-55 บาท,ผลไม้,อาคาร 84
"8/1/2024, 22:31:12",ข้าวราดแกง,ชาเย็น,85-100 บาท,ไอศครีม,อาคาร 84
"8/1/2024, 22:31:51",ข้าวหมกไก่,นมปั่น,45-55 บาท,โตเกียว,อาคาร 84
"8/1/2024, 22:31:51",เมนูเส้น,ชาเย็น,35-45 บาท,ไอศครีม,อาคาร 84
"8/1/2024, 22:32:03",เมนูเส้น,ชาเย็น,35-45 บาท,ไก่ทอด,อาคาร 84
"8/1/2024, 22:34:39",ข้าวราดแกง,ชาเขียว,35-45 บาท,ไอศครีม,อาคาร 84
"8/1/2024, 23:12:54",เมนูเส้น,ชาเขียว,35-45 บาท,ผลไม้,อาคาร 84
"8/1/2024, 23:23:22",ข้าวมันไก่,ชาเขียว,35-45 บาท,ไอศครีม,สระว่ายน้ำ
"8/1/2024, 23:37:29",เมนูเส้น,น้ำเปล่า,35-45 บาท,โตเกียว,อาคาร 84
"9/1/2024, 0:12:13",ข้าวมันไก่,ชาเย็น,35-45 บาท,ไอศครีม,อาคาร 84
"9/1/2024, 6:08:25",เมนูเส้น,ชาดำเย็น,35-45 บาท,ไก่ทอด,อาคาร 84
"9/1/2024, 6:49:39",ข้าวขาหมู,น้ำเปล่า,35-45 บาท,ไอศครีม,อาคาร 84
"9/1/2024, 7:03:46",ข้าวมันไก่,ชาเย็น,35-45 บาท,ไก่ทอด,อาคาร 84
"9/1/2024, 7:04:19",เมนูเส้น,โกโก้,45-55 บาท,ผลไม้,อาคาร 84
"9/1/2024, 7:05:08",ข้าวราดแกง,ชามะนาว,45-55 บาท,ไอศครีม,อาคาร 84
"9/1/2024, 7:36:27",ข้าวมันไก่,ชาเขียว,35-45 บาท,ผลไม้,อาคาร 84
"9/1/2024, 13:38:26",เกาเหลา,ชาเขียว,35-45 บาท,โตเกียว,อาคาร 84
"9/1/2024, 14:11:27",ข้าวมันไก่,ชาเขียว,35-45 บาท,ไอศครีม,อาคาร 84
"9/1/2024, 14:45:41",ข้าวขาหมู,ชาเขียว,65-75 บาท,คอร์นด็อก,อาคาร 84
"10/1/2024, 9:17:18",เมนูเส้น,ชามะนาว,55-65 บาท,มันเกลียว,อาคาร 84
"10/1/2024, 15:31:40",ข้าวมันไก่,แดงมะนาวโซดา,55-65 บาท,ไอศครีม,อาคาร 84